Item,ID,Price,Path
Zaku III Principality of ZEON Char Aznable`s Mobile Suits Red Comet,zakuIII,14.96,imgs/items/Gundam/HG/1.png
Zaku II Type C-6/R6,zakuII,14.96,imgs/items/Gundam/HG/2.png
Gundam Zerachiel,zerachiel,30.00,imgs/items/Gundam/HG/3.png
Gustav Karl,karl,19.94,imgs/items/Gundam/HG/4.png
Bandai Hobby MG 1/100 Unicorn Gundam 02 Banshee,banshee,59.99,imgs/items/Gundam/MG/1.png
Bandai Hobby MG Gundam Double X,DoubleX,56.99,imgs/items/Gundam/MG/2.png
Sengoku Astray Gundam,SengokuAstray,54.99,imgs/items/Gundam/MG/3.png
Bandai Hobby MG Unicorn Gundam 03 Phenex Model,Phenex,115.00,imgs/items/Gundam/MG/4.png
ZGMF-X09A Justice Gundam,justice,20.77,imgs/items/Gundam/RG/1.png
RX-78 GP01Fb Gundam GP01,RX-78,20.77,imgs/items/Gundam/RG/2.png
Bandai Hobby RG MSN-06S Sinanju Gundam,sinanju,41.42,imgs/items/Gundam/RG/3.png
Bandai Hobby #17 RG Wing Gundam Zero,XXXG-00W0,31.99,imgs/items/Gundam/RG/4.png
BMC File,BMC,19.99,imgs/items/Tools/BMC.png
Mr. Cement Deluxe Economy Bottle NET.40ml Gundam Hobby,GlueDeluxe,9.99,imgs/items/Tools/GlueDeluxe.png
Hobby Chisel tools Gundam Model Kits Scribing Mark Panel Line Tape,LineTape,6.00,imgs/items/Tools/LineTape.png
Tamiya 74002 Long Nose Cutter,NoseCutter,25.99,imgs/items/Tools/NoseCutter.png
Dragon Ball Z Dokkan Battle Goku Figure,Goku,44.99,imgs/items/ModelKits/Goku.png
Max Factory One Punch Man: Saitama Figma Action Figure,OnePunchMan,139.99,imgs/items/ModelKits/OnePunchMan.png
